mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
3.642,0.7509999999999999,1.6469999999999998,0.205,0.545,0.313,2.71,28.746,0.0
3.7539999999999996,0.797,1.5519999999999998,0.18899999999999997,0.48100000000000004,0.282,2.504,28.884,0.0
3.805,0.8079999999999999,1.462,0.17800000000000002,0.47100000000000003,0.266,2.377,29.525,0.0
3.865,0.816,1.3730000000000002,0.162,0.463,0.255,2.253,28.606,0.0
3.924,0.83,1.28,0.153,0.446,0.245,2.125,28.455,0.0
3.958,0.835,1.238,0.141,0.45,0.242,2.071,28.643,0.0
3.946,0.841,1.159,0.131,0.443,0.234,1.967,29.085,0.0
4.029,0.8490000000000001,1.093,0.125,0.428,0.229,1.874,30.262,0.0
3.978,0.856,1.037,0.117,0.426,0.222,1.802,31.526,0.0
4.025,0.86,0.906,0.111,0.422,0.21600000000000005,1.654,33.268,0.0
4.01,0.863,0.845,0.105,0.424,0.21100000000000002,1.585,28.785,0.0
4.026,0.8690000000000001,0.823,0.1,0.42200000000000004,0.205,1.55,28.711,0.0
4.034,0.8690000000000001,0.7879999999999999,0.094,0.42100000000000004,0.2,1.5030000000000001,28.714000000000002,0.0
3.98,0.873,0.7559999999999999,0.08900000000000001,0.42100000000000004,0.19399999999999998,1.459,28.918000000000003,0.0
4.005,0.872,0.718,0.084,0.41700000000000004,0.188,1.406,29.315,0.0
4.014,0.879,0.715,0.08,0.408,0.185,1.388,28.633,0.0
4.013,0.882,0.675,0.076,0.413,0.185,1.349,28.485,0.0
4.054,0.886,0.663,0.072,0.403,0.179,1.318,28.67,0.0
3.996,0.887,0.634,0.07,0.407,0.174,1.284,29.713,0.0
4.054,0.891,0.624,0.066,0.403,0.172,1.264,31.594,0.0
